what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899075341
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899077847
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310899077965
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310899078023
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1310899088305
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899093883
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899096210
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310899096552
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1310899098173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899100615
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899104961
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310899105089
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310899105144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1310899115474
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1310899118003
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310899123398
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899161582
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899177247
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310899178839
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310899181964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899183471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899215755
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1310899217138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899218744
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899223014
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310899223029
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310899235366
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899244934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310899347230
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310899349261
