what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900792222
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900797185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900813061
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310900814184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900818893
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900824172
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900825555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900833579
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1310900838862
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310900840265
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310900841699
activated,editor,org.eclipse.wst.html.ui,1.0.600.v201104211436,"org.eclipse.wst.html.core.htmlsource.source",1310900843273
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310900844625
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1310900846516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1310900857686
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900858418
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900861947
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900863681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900872204
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1310900873286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1310900876793
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1310900877459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1310900880140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900881148
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900881269
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1310900885624
